Latitude,Longitude,As_ppb,As
30.10416667,72.6875,173.2153839,1
30.12083333,71.25416667,274,1
30.12083333,71.2625,530,1
30.12916667,71.17916667,8,0
30.1375,71.1375,3,0
30.1375,71.3875,132,1
30.14583333,68.5625,0,0
30.14583333,71.10416667,25,1
30.14583333,72.67916667,0,0
30.15416667,71.17916667,27,1
30.1625,71.1375,1,0
30.1625,73.5625,5,0
30.17083333,73.35416667,0,0
30.17916667,71.4875,10,0
30.17916667,72.69583333,114,1
30.1875,71.0125,139.75,1
30.1875,71.4375,25,1
30.1875,71.5125,50,1
30.19583333,71.4625,20,1
30.19583333,71.47083333,50,1
30.20416667,71.4625,193,1
30.2125,67.02083333,80,1
30.2125,67.02916667,0,0
30.2125,71.14583333,6,0
30.2125,71.47083333,197,1
30.22083333,71.2375,1,0
30.22083333,71.2625,8,0
30.27083333,70.2375,0,0
30.27083333,71.1375,6,0
30.27083333,71.29583333,27,1
30.27083333,72.9375,100,1
30.29583333,71.92916667,0,0
30.29583333,73.0625,100,1
30.30416667,71.3375,2,0
30.30416667,72.3375,251,1
30.3125,71.29583333,4,0
30.32083333,71.2625,14,1
30.34583333,71.1375,2,0
30.34583333,71.2625,11,1
30.34583333,73.3875,23.79892035,1
30.3625,68.59583333,0,0
30.3625,69.8625,0,0
30.3625,71.14583333,1,0
30.3875,67.72916667,0,0
30.3875,71.32083333,0,0
30.40416667,71.8625,100,1
30.40416667,71.87083333,0,0
30.42083333,73.42083333,151.1456539,1
30.42916667,72.37083333,100,1
30.4375,72.34583333,20,1
30.44583333,69.8125,8.327379053,0
30.44583333,71.4625,112.1,1
30.4625,69.37083333,350,1
30.4625,70.97083333,0,0
30.4625,73.2625,150,1
30.47083333,70.97083333,111.8,1
30.52916667,72.70416667,0,0
30.52916667,73.05416667,100,1
30.5625,72.55416667,100,1
30.57083333,70.5625,100,1
30.57916667,66.99583333,0,0
30.57916667,70.5625,100,1
30.59583333,66.62083333,0,0
30.62083333,67.3375,0,0
30.6625,73.10416667,25,1
30.6625,73.64583333,10,0
30.6875,71.77083333,120,1
30.69583333,70.94583333,150,1
30.70416667,66.69583333,0.414213562,0
30.70416667,70.64583333,0,0
30.72083333,72.64583333,2,0
30.7375,66.8375,0,0
30.77916667,70.9375,100,1
30.7875,70.8625,100,1
30.80416667,73.44583333,100,1
30.82083333,67.7375,0,0
30.82916667,73.4125,150,1
30.85416667,69.82083333,0,0
30.87083333,70.17916667,0,0
